Disaster_Number,Incident_Type,Application_Title,DCC,Damage_Category,Project_Size,County,State_Code,Project_Amount,Federal_Share_Obligated,Total_Obligated,declaration_date,obligated_date
1909,Severe Storm(s),NAAHR30 -  Debris Removal,A,Debris Removal,Small,Davidson,TN,13657.85,12292.07,12292.07,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACR138 -  Roads,C,Roads and Bridges,Small,Davidson,TN,27040.53,24336.48,24336.48,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAFHR05 - Whites Creek WWTP Settling Basin No. 10,F,Public Utilities,Small,Davidson,TN,923.44,831.1,831.1,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAECC05 - Metropolitan Nashville Public Schools  - Dist,E,Public Buildings,Small,Davidson,TN,5348.11,4813.3,4813.3,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NAECC04 - Metropolitan Nashville Public Schools  - Dist,E,Public Buildings,Small,Davidson,TN,6886.42,6197.78,6197.78,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NAESC24 - Metropolitan Nashville Public Schools - Main,E,Public Buildings,Small,Davidson,TN,256.6,230.94,230.94,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAECC08 - Metropolitan Nashville Public Schools  - Dist,E,Public Buildings,Small,Davidson,TN,3984.02,3585.62,3585.62,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NAESC14 -  Metropolitan Nashville Public Schools - Main,E,Public Buildings,Small,Davidson,TN,401.26,361.13,361.13,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACM106 -  Roads,C,Roads and Bridges,Large,Davidson,TN,191666.56,172499.91,172499.91,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NDCJT40 -  Culvert,C,Roads and Bridges,Small,Davidson,TN,4954.83,4459.35,4459.35,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACB192 - Roads,C,Roads and Bridges,Small,Davidson,TN,3677.61,3309.85,3309.85,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACAM06 - West Meade Access Road,C,Roads and Bridges,Large,Davidson,TN,1210739.3,1089665.37,1089665.37,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NDCJT44 - Concrete Storm Water Drainage Ditch,C,Roads and Bridges,Small,Davidson,TN,2699.75,2429.78,2429.78,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NDCJT34 - Two Culverts,C,Roads and Bridges,Small,Davidson,TN,17194.52,15475.07,15475.07,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAECC62 - Metropolitan Nashville Public Schools - Main,E,Public Buildings,Small,Davidson,TN,6522.72,5870.45,5870.45,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NACT228 - Roads,C,Roads and Bridges,Small,Davidson,TN,3279.97,2951.97,2951.97,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NACT176 - Roads,C,Roads and Bridges,Small,Davidson,TN,40261.89,36235.7,36235.7,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NAGCC08 - Asphalt Trail,G,Recreational or Other,Small,Davidson,TN,12108.43,10897.59,10897.59,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NACT250 - Roads,C,Roads and Bridges,Large,Davidson,TN,137247.58,123522.83,123522.83,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NACB164 - Roads,C,Roads and Bridges,Small,Davidson,TN,9305.5,8374.95,8374.95,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NABFF08 - EMERGENCY PROTECTIVE MEASURE: METRO PUBLIC HE,B,Protective Measures,Small,Davidson,TN,18620.95,16758.86,16758.86,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NACR162 - Roads,C,Roads and Bridges,Small,Davidson,TN,27296.94,24567.25,24567.25,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NACM216 - Roads,C,Roads and Bridges,Small,Davidson,TN,11743.8,10569.42,10569.42,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NACR222 - Roads,C,Roads and Bridges,Small,Davidson,TN,58612.62,52751.36,52751.36,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NACM231 - Roads,C,Roads and Bridges,Small,Davidson,TN,38808.34,34927.51,34927.51,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NACM235 - Roads,C,Roads and Bridges,Small,Davidson,TN,7553.68,6798.31,6798.31,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NACB158 - Roads,C,Roads and Bridges,Small,Davidson,TN,5678.35,5110.52,5110.52,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NDFTM69 - Inlet Pipe Endwall,F,Public Utilities,Small,Davidson,TN,20856.35,18770.72,18770.72,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NAESD19 - BUS DRIVING SIMULATORS,E,Public Buildings,Large,Davidson,TN,302796.45,272516.8,272516.8,2010-05-04 04:00:00+00:00,2011-02-23 21:46:39+00:00
1909,Severe Storm(s),NACB173 - Roads,C,Roads and Bridges,Small,Davidson,TN,2488.43,2239.59,2239.59,2010-05-04 04:00:00+00:00,2011-01-25 05:27:38+00:00
1909,Severe Storm(s),NAEMR01 - MTA Bus Wash Building,E,Public Buildings,Large,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NDCTM68 - Box Culvert Inlet Apron,C,Roads and Bridges,Small,Davidson,TN,14605.88,13145.29,13145.29,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACR165 - Roads,C,Roads and Bridges,Small,Davidson,TN,28632.89,25769.6,25769.6,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NAEFM09 - Omohundro Water Plant Guard Building,E,Public Buildings,Small,Davidson,TN,13454.81,12109.33,12109.33,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NDCTM64 - Culvert,C,Roads and Bridges,Small,Davidson,TN,34768.08,31291.27,31291.27,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACR226 - Roads,C,Roads and Bridges,Small,Davidson,TN,2920.43,2628.39,2628.39,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACR223 - Roads,C,Roads and Bridges,Small,Davidson,TN,5236.24,4712.62,4712.62,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NAEFM08 - Omohundro Water Plant Pump Station Building,E,Public Buildings,Large,Davidson,TN,1915930.19,1724337.17,1724337.17,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NACR170 - Roads,C,Roads and Bridges,Small,Davidson,TN,2386.41,2147.77,2147.77,2010-05-04 04:00:00+00:00,2011-01-25 05:27:38+00:00
1909,Severe Storm(s),NACR169 - Roads,C,Roads and Bridges,Small,Davidson,TN,37003.72,33303.35,33303.35,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NDCJT55 -   Culvert (Site 1.) and Storm Water Drainage,C,Roads and Bridges,Large,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAETD19 - Plant Forklift Truck,E,Public Buildings,Small,Davidson,TN,2086.42,1877.78,1877.78,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),"NAFMB26 - Holiday, Heartland, Cloverbottom, Munn Sewage",F,Public Utilities,Small,Davidson,TN,22415.56,20174.0,20174.0,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NDFTM63 - Culvert,F,Public Utilities,Small,Davidson,TN,26416.25,23774.63,23774.63,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NDCJT61 -  Culvert and Pipe Endwall,C,Roads and Bridges,Small,Davidson,TN,2597.04,2337.34,2337.34,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAGAM06 - Access Road,G,Recreational or Other,Large,Davidson,TN,614539.73,553085.76,553085.76,2010-05-04 04:00:00+00:00,2011-10-07 01:31:37+00:00
1909,Severe Storm(s),NDCJT54 -  Culvert,C,Roads and Bridges,Small,Davidson,TN,16749.59,15074.63,15074.63,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NDCTM58 - Culvert Pipe Endwall / Shoulder / Roadway,C,Roads and Bridges,Small,Davidson,TN,21407.17,19266.46,19266.46,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NACWR66 - Roads,C,Roads and Bridges,Small,Davidson,TN,44139.42,39725.48,39725.48,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAECC69 - Concession Stand &  Restroom Buildings,E,Public Buildings,Small,Davidson,TN,958.4,862.56,862.56,2010-05-04 04:00:00+00:00,2011-01-25 05:27:38+00:00
1909,Severe Storm(s),NDCJT29 - Two Culverts,C,Roads and Bridges,Large,Davidson,TN,327806.56,295025.9,295025.9,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),"NAFMB32 - Browns Creek, Old Hickory, Cowan St Sewage Pu",F,Public Utilities,Large,Davidson,TN,70206.05,63185.44,63185.44,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NABJM04 - North Branch Library- Carnegie Building: Emer,B,Protective Measures,Small,Davidson,TN,120.0,108.0,108.0,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NACM215 - Roads,C,Roads and Bridges,Small,Davidson,TN,2006.71,1806.04,1806.04,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAESD16 - MTA Admin. & Maintenance Facility,E,Public Buildings,Large,Davidson,TN,738348.09,664513.28,664513.28,2010-05-04 04:00:00+00:00,2011-02-23 21:46:39+00:00
1909,Severe Storm(s),NAEFF30 - (Metro Action Commission) - Contents,E,Public Buildings,Small,Davidson,TN,90.92,81.83,81.83,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NDATM74 - Roadways,A,Debris Removal,Small,Davidson,TN,17296.7,15567.03,15567.03,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NDCJT56 - Storm Water Drainage Ditch,C,Roads and Bridges,Small,Davidson,TN,19459.4,17513.46,17513.46,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NABSC05 - Metropolitan Nashville Public Schools - Emerg,B,Protective Measures,Small,Davidson,TN,402.93,362.64,362.64,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NABSD41 - Old Hickory Library : Emergency Protective Me,B,Protective Measures,Small,Davidson,TN,120.0,108.0,108.0,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NABJT58 - Emergency Sewer By-Pass at Richland Creek,B,Protective Measures,Large,Davidson,TN,1207773.87,1086996.49,1086996.49,2010-05-04 04:00:00+00:00,2011-02-23 21:46:39+00:00
1909,Severe Storm(s),NABJM01 - Metropolitian Nashville Public Schools: Emerg,B,Protective Measures,Small,Davidson,TN,165.41,148.87,148.87,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACR155 - Roads,C,Roads and Bridges,Small,Davidson,TN,4462.55,4016.3,4016.3,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NACB121 - Roads,C,Roads and Bridges,Small,Davidson,TN,38645.87,34781.28,34781.28,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAGAH01 - Pedestrian Walkway,G,Recreational or Other,Small,Davidson,TN,20077.5,18069.75,18069.75,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NAGAH03 - Walking Trail (concrete sidewalk),G,Recreational or Other,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NAEFM10 - Omohundro Water Plant Guard Building Contents,E,Public Buildings,Small,Davidson,TN,19103.32,17192.99,17192.99,2010-05-04 04:00:00+00:00,2011-02-18 02:37:40+00:00
1909,Severe Storm(s),NAEFM11 - Omohundro Water Plant Boiler Building Content,E,Public Buildings,Small,Davidson,TN,6969.45,6272.51,6272.51,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NAAFM12 - Debris: Omohundro Water Plant,A,Debris Removal,Large,Davidson,TN,113058.19,101752.37,101752.37,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NDBTM73 - Emergency Response,B,Protective Measures,Small,Davidson,TN,30031.97,27028.77,27028.77,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NDFTM71 - Storm Water Drainage Ditch,F,Public Utilities,Large,Davidson,TN,80087.77,72079.0,72079.0,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NDCJT63 - Two Culverts,C,Roads and Bridges,Small,Davidson,TN,46319.89,41687.91,41687.91,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NDCJT62 - Storm Water Drainage Ditch and Pipe Endwall,C,Roads and Bridges,Small,Davidson,TN,2726.11,2453.5,2453.5,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACLW01 - Centennial Park,C,Roads and Bridges,Small,Davidson,TN,2954.95,2659.46,2659.46,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAECC68 - Concession Stand,E,Public Buildings,Small,Davidson,TN,419.36,377.42,377.42,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NAEHR33 - Restroom Building,E,Public Buildings,Small,Davidson,TN,449.2,404.28,404.28,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NAECC70 - Concession Stand,E,Public Buildings,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NACT227 - Roads,C,Roads and Bridges,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NDFJT32 - 36 inch Sewer Line and 75 ft. long Pipe Bridg,F,Public Utilities,Large,Davidson,TN,599878.9,539891.02,539891.02,2010-05-04 04:00:00+00:00,2011-07-09 01:47:20+00:00
1909,Severe Storm(s),"NAFMB33 - Cleece's Ferry, Davidson Branch, West Park, M",F,Public Utilities,Small,Davidson,TN,2516.38,2264.74,2264.74,2010-05-04 04:00:00+00:00,2011-02-26 00:48:11+00:00
1909,Severe Storm(s),NAFMB01 - Omohundro Water Plant,F,Public Utilities,Large,Davidson,TN,354585.19,319126.67,319126.67,2010-05-04 04:00:00+00:00,2011-02-26 00:48:11+00:00
1909,Severe Storm(s),NAEHR27 - Public Works - Special Operations Building (O,E,Public Buildings,Small,Davidson,TN,8782.28,7904.05,7904.05,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NABSC06 - Metropolitan Nashville Public Schools - Emerg,B,Protective Measures,Small,Davidson,TN,70.63,63.57,63.57,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),"PW 5358v1 - Bourdeaux Hills, Cabin Hills, Shelby Park",F,Public Utilities,Large,Davidson,TN,25039.07,22535.17,22535.17,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),"NAFMB28 - River Retreat, Neelys Bend, Dodson Chapel, La",F,Public Utilities,Large,Davidson,TN,32612.86,29351.57,29351.57,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),"NAFMB27 - Vandiver, Penn Meade, Berwick Trail, Bonnafai",F,Public Utilities,Large,Davidson,TN,12852.06,11566.86,11566.86,2010-05-04 04:00:00+00:00,2011-02-26 00:48:11+00:00
1909,Severe Storm(s),"NAFMB31 - White's Creek, 28th Ave, Alice Street, Rivers",F,Public Utilities,Large,Davidson,TN,88290.98,79461.88,79461.88,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NABSD32 - Farmer's Market - Emergency Protective Measur,B,Protective Measures,Large,Davidson,TN,244190.93,219771.84,219771.84,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NABLY75 - Emergency Protective Measures: Information Te,B,Protective Measures,Small,Davidson,TN,13486.64,12137.98,12137.98,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAGCC04 - Richland Creek Greenway,G,Recreational or Other,Large,Davidson,TN,111669.04,100502.14,100502.14,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NACR230 - Roads,C,Roads and Bridges,Large,Davidson,TN,219115.49,197203.94,197203.94,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NABSD40 - Metro Drug Court #4 Dormitory Building No. 14,B,Protective Measures,Small,Davidson,TN,120.0,108.0,108.0,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NAEMM02 - Centennial Sportsplex - Tennis Pavilion,E,Public Buildings,Small,Davidson,TN,1743.8,1569.42,1569.42,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),"NAFMB30 - Williamson Ferry, Loves Branch, Madison Hts,",F,Public Utilities,Small,Davidson,TN,2843.19,2558.87,2558.87,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NABSC07 - Hartman Park Community Center - Emergency Pro,B,Protective Measures,Small,Davidson,TN,34045.33,30640.8,30640.8,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NABMM16 - Vehicles - towing,B,Protective Measures,Small,Davidson,TN,15800.0,14220.0,14220.0,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NACM61 - Roads,C,Roads and Bridges,Large,Davidson,TN,310506.31,279455.68,279455.68,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACM236 - Roads,C,Roads and Bridges,Small,Davidson,TN,40918.34,36826.51,36826.51,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAGHR12 - Richland Creek Greenway - Knob Road Connector,G,Recreational or Other,Small,Davidson,TN,32027.26,28824.53,28824.53,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NAGLF09 - Roadway repairs,G,Recreational or Other,Small,Davidson,TN,7319.94,6587.95,6587.95,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAEFM07 - Antioch Library Maintenance Building,E,Public Buildings,Small,Davidson,TN,1509.7,1358.73,1358.73,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAEMM06 - Hartman Regional Community Center,E,Public Buildings,Large,Davidson,TN,110425.69,99383.12,99383.12,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NABCS36 - DRY CREEK WWTP EPM,B,Protective Measures,Small,Davidson,TN,1153.77,1038.39,1038.39,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NACB143 - Roads,C,Roads and Bridges,Small,Davidson,TN,8408.19,7567.37,7567.37,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAECC71 - Concession and Restroom Building,E,Public Buildings,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACT113 - Roads,C,Roads and Bridges,Large,Davidson,TN,140795.45,126715.9,126715.9,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NAEMM39 - Douglas Senior Center,E,Public Buildings,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACM237 - Roads,C,Roads and Bridges,Small,Davidson,TN,6595.97,5936.37,5936.37,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAESD31 - Market House,E,Public Buildings,Large,Davidson,TN,825574.8,743017.32,743017.32,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NDCTM51 - Culvert,C,Roads and Bridges,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACB255 - Roads,C,Roads and Bridges,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s), NACT252 - Roads,C,Roads and Bridges,Small,Davidson,TN,11736.29,10562.67,10562.67,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACT251 - Roads,C,Roads and Bridges,Small,Davidson,TN,47599.52,42839.57,42839.57,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACT215 - Roads,C,Roads and Bridges,Large,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NDCJT44 - Concrete Storm Water Drainage Ditch,C,Roads and Bridges,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NDCTM49 - Culvert and Pipe Endwall,C,Roads and Bridges,Small,Davidson,TN,7346.27,6611.64,6611.64,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAGJM59 - Sidewalk Foundation,G,Recreational or Other,Small,Davidson,TN,20580.35,18522.32,18522.32,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAEFM02 - Howard Office Building,E,Public Buildings,Small,Davidson,TN,1266.11,1139.5,1139.5,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),DAAAP01 - Single Family Dwellings,A,Debris Removal,Large,Davidson,TN,595515.3,535963.77,535963.77,2010-05-04 04:00:00+00:00,2011-02-18 02:37:40+00:00
1909,Severe Storm(s),NACR199 - Roads,C,Roads and Bridges,Small,Davidson,TN,14844.51,13360.06,13360.06,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAERB05 - Racetrack Buildings,E,Public Buildings,Small,Davidson,TN,591.45,532.31,532.31,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAFLF05 - Shelby Park,F,Public Utilities,Small,Davidson,TN,27580.08,24822.07,24822.07,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACRB04 - Roads,C,Roads and Bridges,Large,Davidson,TN,176483.66,158835.29,158835.29,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NAGRB11 - Fencing,G,Recreational or Other,Small,Davidson,TN,1474.89,1327.4,1327.4,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACHR19 - Storm Water Drainage,C,Roads and Bridges,Small,Davidson,TN,10039.66,9035.69,9035.69,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAEJM04 - North Branch Library - Carnegie Building,E,Public Buildings,Small,Davidson,TN,7048.53,6343.68,6343.68,2010-05-04 04:00:00+00:00,2011-07-09 01:47:20+00:00
1909,Severe Storm(s),NABMB02 - Emergency Protective Measures - Omohundro,B,Protective Measures,Small,Davidson,TN,33745.04,30370.54,30370.54,2010-05-04 04:00:00+00:00,2011-02-15 02:07:28+00:00
1909,Severe Storm(s),NAEHR20 - Building (Offender Re-Entry Center),E,Public Buildings,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAEHR13 - Building Jerry Newson Center,E,Public Buildings,Small,Davidson,TN,0.0,0.01,0.01,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),MEFAM09 - Tunnels- Energy,F,Public Utilities,Small,Davidson,TN,7938.89,7145.0,7145.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAGAM43 - Percy Warner Park - Tornado Road,G,Recreational or Other,Large,Davidson,TN,60076.86,54069.18,54069.18,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NABJM03 - District Wide Busing- Evacuation Emergency Pr,B,Protective Measures,Small,Davidson,TN,50513.49,45462.14,45462.14,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACFM13 - Police Academy Training Road,C,Roads and Bridges,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAGLF10 - Playground Surfacing,G,Recreational or Other,Small,Davidson,TN,7869.65,7082.69,7082.69,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACB117 - Roads,C,Roads and Bridges,Small,Davidson,TN,19736.9,17763.21,17763.21,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACM238 - Roads,C,Roads and Bridges,Small,Davidson,TN,14247.01,12822.31,12822.31,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NAEMM07 - Fare Boxes,E,Public Buildings,Large,Davidson,TN,169268.94,152342.05,152342.05,2010-05-04 04:00:00+00:00,2014-06-13 01:05:05+00:00
1909,Severe Storm(s),NACWR71 - Roads,C,Roads and Bridges,Small,Davidson,TN,2325.69,2093.12,2093.12,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
