Disaster_Number,Incident_Type,Application_Title,DCC,Damage_Category,Project_Size,County,State_Code,Project_Amount,Federal_Share_Obligated,Total_Obligated,declaration_date,obligated_date
1909,Severe Storm(s),NAEHR28 - Public Works - South Wash Rack Building No. 1,E,Public Buildings,Small,Davidson,TN,509.2,458.28,458.28,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NDCJT48 - Two Culverts,C,Roads and Bridges,Large,Davidson,TN,197556.95,177801.26,177801.26,2010-05-04 04:00:00+00:00,2011-02-01 03:13:46+00:00
1909,Severe Storm(s),NAEHR31 - Public Works - North Wash Rack Building No. 2,E,Public Buildings,Small,Davidson,TN,4535.13,4081.62,4081.62,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACW151 - Roads,C,Roads and Bridges,Small,Davidson,TN,19237.08,17313.37,17313.37,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAEFB69 - Metropolitan Nashville Public Schools - ,E,Public Buildings,Small,Davidson,TN,106.79,96.11,96.11,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NDFTM35 - Box Culvert and Storm Drain,F,Public Utilities,Small,Davidson,TN,6181.74,5563.57,5563.57,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NACR166  - Roads,C,Roads and Bridges,Small,Davidson,TN,13643.99,12279.59,12279.59,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAEHR26 Salt Brine Building,E,Public Buildings,Small,Davidson,TN,958.4,862.56,862.56,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NAGHR17 Race Track Servicce Road Guard Rail,G,Recreational or Other,Small,Davidson,TN,2878.34,2590.51,2590.51,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NAGSC17,G,Recreational or Other,Small,Davidson,TN,99.04,89.14,89.14,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NAEFB76  Metropolitan Nashville Public Schools-Combined,E,Public Buildings,Small,Davidson,TN,124.4,111.96,111.96,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NDFTM36 - Storm Drain,F,Public Utilities,Small,Davidson,TN,15046.84,13542.16,13542.16,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NDFTM40 - Storm Drain Ditch,F,Public Utilities,Small,Davidson,TN,1445.95,1301.36,1301.36,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NAEHR16 - Nashville Public Library-Old Hickory Branch,E,Public Buildings,Small,Davidson,TN,646.44,581.8,581.8,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NABFB26 - Emergency Protective Measures - ,B,Protective Measures,Small,Davidson,TN,47126.8,42414.12,42414.12,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NACB153 - Roads,C,Roads and Bridges,Small,Davidson,TN,3822.31,3440.08,3440.08,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACSC01 - Metropolitan Nashville Public Schools - ,C,Roads and Bridges,Small,Davidson,TN,147.98,133.18,133.18,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NABLC27 - Emergency Protective Measures -Various,B,Protective Measures,Small,Davidson,TN,4033.97,3630.57,3630.57,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NACR149 - Roads,C,Roads and Bridges,Small,Davidson,TN,9936.65,8942.99,8942.99,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NDCJT33 - Two Culverts,C,Roads and Bridges,Large,Davidson,TN,88214.16,79392.74,79392.74,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NABFFO6 Emergency Protective Measures,B,Protective Measures,Small,Davidson,TN,858.76,772.89,772.89,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAESC23 - Metropolitan Nashville Public Schools - Main,E,Public Buildings,Small,Davidson,TN,29168.14,26251.33,26251.33,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NDAAB04 - Debris Removal,A,Debris Removal,Small,Davidson,TN,34383.76,30945.38,30945.38,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAECC63 Metropolitan Nashville Public Schools-Main,E,Public Buildings,Small,Davidson,TN,1172.34,1055.1,1055.1,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NDBAB06 Emergency Protective Measures,B,Protective Measures,Small,Davidson,TN,1256.61,1130.95,1130.95,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),"NAGAH05 -  Cart Path embankment washout, asphalt canal",G,Recreational or Other,Small,Davidson,TN,15058.91,13553.02,13553.02,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
