Disaster_Number,State,County,Zip_Code,Avg_Inspected_Damage,Total_Inspected,Total_Damage,Total_Approved,Repair_Replace_Amount,Rental_Amount,Other_Needs_Amount
4476,TN,Davidson ,37207,1748.956957,25,80452.02,63275.57,51057.2,10982.0,1236.37
4476,TN,Davidson ,37213,0.0,0,0.0,0.0,0.0,0.0,0.0
4476,TN,Davidson ,37219,0.0,0,0.0,0.0,0.0,0.0,0.0
4476,TN,Davidson ,37243,2829.951429,6,19809.66,0.0,0.0,0.0,0.0
4476,TN,Davidson ,37220,0.0,1,0.0,0.0,0.0,0.0,0.0
4476,TN,Davidson ,37203,4394.194,4,21970.97,1429.44,1429.44,0.0,0.0
4476,TN,Davidson ,37205,0.0,2,0.0,0.0,0.0,0.0,0.0
4514,TN,Davidson ,37204,0.0,0,0.0,0.0,0.0,0.0,0.0
4514,TN,Davidson ,37218,0.0,0,0.0,0.0,0.0,0.0,0.0
4514,TN,Davidson ,37211,0.0,0,0.0,0.0,0.0,0.0,0.0
4514,TN,Davidson ,37206,0.0,0,0.0,0.0,0.0,0.0,0.0
4514,TN,Davidson ,37212,0.0,0,0.0,0.0,0.0,0.0,0.0
4514,TN,Davidson ,37207,0.0,0,0.0,0.0,0.0,0.0,0.0
4514,TN,Davidson ,37203,0.0,0,0.0,0.0,0.0,0.0,0.0
4514,TN,Davidson ,37205,0.0,0,0.0,0.0,0.0,0.0,0.0
4601,TN,Davidson ,37207,285.888,3,1429.44,0.0,0.0,0.0,0.0
4601,TN,Davidson ,37217,3762.166429,8,52670.33,16436.32,5794.32,10642.0,0.0
4601,TN,Davidson ,37205,3678.473333,3,22070.84,4524.78,4524.78,0.0,0.0
4601,TN,Davidson ,37214,3585.69,9,71713.8,7720.0,0.0,7720.0,0.0
4601,TN,Davidson ,37210,2872.155714,3,20105.09,7097.5,7097.5,0.0,0.0
4601,TN,Davidson ,37215,1799.288571,8,25190.04,9275.55,4819.55,4456.0,0.0
4601,TN,Davidson ,37216,0.0,1,0.0,0.0,0.0,0.0,0.0
4601,TN,Davidson ,37206,513.15,1,1026.3,2062.0,0.0,2062.0,0.0
4601,TN,Davidson ,37209,214.2883333,3,1285.73,875.74,875.74,0.0,0.0
4601,TN,Davidson ,37211,4285.080829,108,775599.63,308236.03,141623.34,154084.0,12528.69
4601,TN,Davidson ,37221,1441.538182,5,15856.92,3800.95,1406.95,2394.0,0.0
4601,TN,Davidson ,37203,459.075,1,918.15,0.0,0.0,0.0,0.0
4601,TN,Davidson ,37204,2158.9425,8,34543.08,17638.69,7358.69,10280.0,0.0
4601,TN,Davidson ,37218,0.0,0,0.0,0.0,0.0,0.0,0.0
4601,TN,Davidson ,37220,972.5168182,9,21395.37,22381.48,17925.48,4456.0,0.0
4601,TN,Davidson ,37208,2828.3,1,5656.6,0.0,0.0,0.0,0.0
